preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
2,0.551876000012271,10.006041900022,14.0060191999655,16.5579077999573,23,16,L2_H1_S3,L2_H0_S2
2,0.599832399981096,14.0060191999655,18.0060506999725,20.6059027999872,16,19,L2_H0_S2,L2_H1_S1
0,NaN,18.0060506999725,22.0060724000214,1.48565799999051,19,39,L2_H1_S1,
2,0.535975800012238,22.0060724000214,26.0061665000394,28.5420490000397,39,17,,L2_H0_S3
2,0.52783899998758,26.0061665000394,30.0061281999806,32.5339385999832,17,31,L2_H0_S3,L3_H1_S1
1,0.575834500021301,30.0061281999806,34.0061597999884,36.5819941000082,31,36,L3_H1_S1,L3_H1_S3
2,0.551645800005645,34.0061597999884,38.0062169999583,40.557855400024,36,7,L3_H1_S3,L1_H1_S1
1,0.519490499980748,38.0062169999583,42.0063578999834,44.5257127999794,7,9,L1_H1_S1,L1_H1_S2
2,0.463584400014952,42.0063578999834,46.0062896000454,48.4698455999605,9,26,L1_H1_S2,L3_H0_S1
1,0.567610800033435,46.0062896000454,50.0063241999596,52.5739048999967,26,10,L3_H0_S1,L1_H1_S2
2,0.471610400010832,50.0063241999596,54.0063518000534,56.4779377999948,10,1,L1_H1_S2,L1_H0_S1
2,0.487425499944948,54.0063518000534,58.0063758000033,60.4937878999626,1,4,L1_H0_S1,L1_H0_S2
1,0.535408700001426,58.0063758000033,62.0064110000385,64.5418057000497,4,6,L1_H0_S2,L1_H0_S3
2,0.511369899963029,62.0064110000385,66.0064561000327,68.5178240999812,6,12,L1_H0_S3,L1_H1_S3
2,0.487231399980374,66.0064561000327,70.0064886000473,72.4936974999728,12,29,L1_H1_S3,L3_H0_S3
0,NaN,70.0064886000473,74.0065249999752,1.48521600000095,29,41,L3_H0_S3,
0,NaN,74.0065249999752,78.0065261999844,1.48521039995831,41,37,,
1,0.631156299961731,78.0065261999844,82.0065607000142,84.6376911000116,37,34,,L3_H1_S2
2,0.615146100055426,82.0065607000142,86.0066275000572,88.6217436000006,34,2,L3_H1_S2,L1_H0_S1
2,0.503172400058247,86.0066275000572,90.0066544000292,92.5098017000128,2,21,L1_H0_S1,L2_H1_S2
2,0.519166400074027,90.0066544000292,94.0066932999762,96.5258255000226,21,11,L2_H1_S2,L1_H1_S3
1,0.647039000061341,94.0066932999762,98.0067229999695,100.653733500047,11,5,L1_H1_S3,L1_H0_S3
0,NaN,98.0067229999695,102.006754699978,1.48496239993256,5,43,L1_H0_S3,
2,0.52689239999745,102.006754699978,106.006787699996,108.533655500039,43,32,,L3_H1_S1
2,0.51087280001957,106.006787699996,110.006824900047,112.51767229999,32,14,L3_H1_S1,L2_H0_S1
1,0.902775400085375,110.006824900047,114.006859999965,116.909605100052,14,3,L2_H0_S1,L1_H0_S2
0,NaN,114.006859999965,118.00689259998,1.48485419992357,3,38,L1_H0_S2,
0,NaN,118.00689259998,122.00692449999,1.48481870000251,38,42,,
2,0.470615599886514,122.00692449999,126.006965599954,128.477533499943,42,22,,L2_H1_S2
2,0.43843109998852,126.006965599954,130.006959400023,132.445370499976,22,27,L2_H1_S2,L3_H0_S2
1,0.470451800036244,130.006959400023,134.006993700052,136.477451500017,27,24,L3_H0_S2,L2_H1_S3
0,NaN,134.006993700052,138.007056599949,1.4847049000673,24,40,L2_H1_S3,
2,0.526388600002974,138.007056599949,142.007097300026,144.533472900046,40,28,,L3_H0_S2
2,0.710305100074038,142.007097300026,146.007166599971,148.71745440003,28,33,L3_H0_S2,L3_H1_S2
2,0.47014989994932,146.007166599971,150.007158700028,152.477354299976,33,18,L3_H1_S2,L2_H0_S3
2,0.454178499989212,150.007158700028,154.007215799997,156.46137959999,18,25,L2_H0_S3,L3_H0_S1
1,0.494132600026205,154.007215799997,158.007256699959,160.501351700048,25,15,L3_H0_S1,L2_H0_S2
2,0.574090600013733,158.007256699959,162.007368899998,164.581338400021,15,35,L2_H0_S2,L3_H1_S3
2,0.462054500007071,162.007368899998,166.007355000009,168.469323300058,35,13,L3_H1_S3,L2_H0_S1
1,0.510014300001785,166.007355000009,170.007332899957,172.51731549995,13,8,L2_H0_S1,L1_H1_S1
2,0.381993499933742,170.007332899957,174.007406400051,176.389305399964,8,20,L1_H1_S1,L2_H1_S1
1,0.533805900020525,174.007406400051,178.007368299994,180.541148700053,20,30,L2_H1_S1,L3_H0_S3
2,0.477779500070028,178.007368299994,182.00740370003,184.485157100018,30,26,L3_H0_S3,L3_H0_S1
1,0.605769100016914,182.00740370003,186.007463900023,188.613204500056,26,1,L3_H0_S1,L1_H0_S1
2,0.517556900042109,186.007463900023,190.007499599946,192.525029000011,1,31,L1_H0_S1,L3_H1_S1
1,0.541588700027205,190.007499599946,194.007658899995,196.549156100024,31,19,L3_H1_S1,L2_H1_S1
0,NaN,194.007658899995,198.007566399989,1.48418499995023,19,37,L2_H1_S1,
2,0.125456599984318,198.007566399989,202.007704599993,204.133029500023,37,29,,L3_H0_S3
1,0.509679300012067,202.007704599993,206.007638999959,208.517285699956,29,5,L3_H0_S3,L1_H0_S3
1,0.501487100031227,206.007638999959,210.007668799954,212.509125499986,5,6,L1_H0_S3,L1_H0_S3
2,0.461682599969208,210.007668799954,214.007701899973,216.469432499958,6,25,L1_H0_S3,L3_H0_S1
1,0.581226299982518,214.007701899973,218.007733199978,220.588936200016,25,22,L3_H0_S1,L2_H1_S2
1,0.525260500027798,218.007733199978,222.007775099948,224.532997800037,22,34,L2_H1_S2,L3_H1_S2
2,0.509210200048983,222.007775099948,226.007786300033,228.516959300032,34,30,L3_H1_S2,L3_H0_S3
2,0.565120799932629,226.007786300033,230.007869099965,232.572951499955,30,27,L3_H0_S3,L3_H0_S2
0,NaN,230.007869099965,234.007836299948,1.48387450003065,27,38,L3_H0_S2,
2,0.517074899980798,234.007836299948,238.00790159998,240.524949199986,38,28,,L3_H0_S2
1,0.565088299917988,238.00790159998,242.00792210002,244.572998799966,28,36,L3_H0_S2,L3_H1_S3
2,0.493060299893841,242.00792210002,246.007969400031,248.501016999944,36,2,L3_H1_S3,L1_H0_S1
2,0.508933000033721,246.007969400031,250.00800250005,252.51691060001,2,10,L1_H0_S1,L1_H1_S2
1,0.63678349996917,250.00800250005,254.008080599946,256.644779499969,10,35,L1_H1_S2,L3_H1_S3
2,0.644880800042301,254.008080599946,258.008068599971,260.652924600057,35,18,L3_H1_S3,L2_H0_S3
1,0.580830399994738,258.008068599971,262.008095300058,264.588921000017,18,23,L2_H0_S3,L2_H1_S3
1,0.556690199999139,262.008095300058,266.008140400052,268.56486449996,23,24,L2_H1_S3,L2_H1_S3
2,0.636656900052913,266.008140400052,270.008169700042,272.644799000002,24,8,L2_H1_S3,L1_H1_S1
2,0.523984940256923,270.008169700042,274.008209799998,276.532631600043,8,3,L1_H1_S1,L1_H0_S2
2,0.47645679989364,274.008209799998,278.008279199945,280.484688799945,3,13,L1_H0_S2,L2_H0_S1
2,0.516613799962215,278.008279199945,282.008243400021,284.524875800009,13,14,L2_H0_S1,L2_H0_S1
1,0.524526300025173,282.008243400021,286.008302800008,288.532806099975,14,7,L2_H0_S1,L1_H1_S1
0,NaN,286.008302800008,290.008366500027,1.48341649991926,7,40,L1_H1_S1,
2,0.508512499975041,290.008366500027,294.008377299993,296.51685809996,40,20,,L2_H1_S1
1,0.516295299981721,294.008377299993,298.008396600024,300.524733399972,20,11,L2_H1_S1,L1_H1_S3
2,0.628143699956127,298.008396600024,302.008407899993,304.636558400001,11,21,L1_H1_S3,L2_H1_S2
2,0.556205399916507,302.008407899993,306.008478999953,308.564649199951,21,16,L2_H1_S2,L2_H0_S2
2,0.380159100051969,306.008478999953,310.008563700016,312.388641100028,16,33,L2_H0_S2,L3_H1_S2
1,0.59620500006713,310.008563700016,314.008537000045,316.604719600058,33,32,L3_H1_S2,L3_H1_S1
2,0.588115699938498,314.008537000045,318.008575899992,320.596664299956,32,17,L3_H1_S1,L2_H0_S3
1,0.492074600071646,318.008575899992,322.008615799947,324.500660300022,17,15,L2_H0_S3,L2_H0_S2
2,0.508030500030145,322.008615799947,326.008618299966,328.516616699984,15,4,L2_H0_S2,L1_H0_S2
0,NaN,326.008618299966,330.008654300007,1.48309220001101,4,42,L1_H0_S2,
0,NaN,330.008654300007,334.008713999996,1.48294859996531,42,43,,
2,0.699801100068726,334.008713999996,338.008746000007,340.708512800047,43,12,,L1_H1_S3
0,NaN,338.008746000007,342.008774199989,1.48294630006421,12,41,L1_H1_S3,
1,0.595645699999295,342.008774199989,346.008813800057,348.60442810005,41,9,,L1_H1_S2
0,NaN,346.008813800057,350.008846199955,1.48291560006328,9,39,L1_H1_S2,
