preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
0,NaN,9.9977359000186,13.9954527000082,1.4965680000023,26,38,L3_H0_S1,
2,0.955017400003271,13.9954527000082,17.9957703000109,20.9503341000236,38,36,,L3_H1_S3
1,0.585260899999412,17.9957703000109,21.9957397000107,24.5822695000097,36,5,L3_H1_S3,L1_H0_S3
1,0.632889500004239,21.9957397000107,25.9979824000038,28.6301733000146,5,10,L1_H0_S3,L1_H1_S2
1,0.641231999994488,25.9979824000038,29.9977414000023,32.6383939000079,10,34,L1_H1_S2,L3_H1_S2
2,0.808973999985028,29.9977414000023,33.9978585000208,36.806110400008,34,11,L3_H1_S2,L1_H1_S3
2,0.824867600022117,33.9978585000208,37.9985841000162,40.822292100027,11,9,L1_H1_S3,L1_H1_S2
1,0.625234100007219,37.9985841000162,41.997702600027,44.6223586000269,9,4,L1_H1_S2,L1_H0_S2
2,0.656432800024049,41.997702600027,45.9976284000149,48.6541013000242,4,14,L1_H0_S2,L2_H0_S1
2,0.744558799982769,45.9976284000149,49.9978312000167,52.7421147999994,14,33,L2_H0_S1,L3_H1_S2
2,0.744668800005456,49.9978312000167,53.9978102000023,56.7421812000102,33,30,L3_H1_S2,L3_H0_S3
1,0.536812500009546,53.9978102000023,57.9993772000016,60.5342188000213,30,12,L3_H0_S3,L1_H1_S3
2,0.699017800012371,57.9993772000016,61.997674800019,64.6941615000251,12,32,L1_H1_S3,L3_H1_S1
2,0.6907998000097,61.997674800019,65.995831600012,68.6861382000207,32,8,L3_H1_S1,L1_H1_S1
2,0.654073100013193,65.995831600012,69.9958127000136,72.6491013000195,8,27,L1_H1_S1,L3_H0_S2
2,0.936535299988464,69.9958127000136,73.9977841000073,76.9339932000148,27,35,L3_H0_S2,L3_H1_S3
1,0.600574299984146,73.9977841000073,77.9993957000261,80.598152999999,35,13,L3_H1_S3,L2_H0_S1
2,0.808889000007184,77.9993957000261,81.9976469000103,84.8060315000184,13,22,L2_H0_S1,L2_H1_S2
2,0.64044190000277,81.9976469000103,85.9977103999991,88.6380674000247,22,25,L2_H1_S2,L3_H0_S1
2,0.920498399995267,85.9977103999991,89.9979034000135,92.9179080000031,25,6,L3_H0_S1,L1_H0_S3
2,0.640351200010628,89.9979034000135,93.9980568000174,96.6380352000124,6,28,L1_H0_S3,L3_H0_S2
2,0.744238700019196,93.9980568000174,97.9987702000071,100.741931200027,28,29,L3_H0_S2,L3_H0_S3
1,0.664919999981066,97.9987702000071,101.99773990002,104.661953000003,29,18,L3_H0_S3,L2_H0_S3
2,0.714327199995751,101.99773990002,105.997794800001,108.717964500014,18,19,L2_H0_S3,L2_H1_S1
0,NaN,105.997794800001,109.997157700011,1.49491700000362,19,40,L2_H1_S1,
1,0.642061499995179,109.997157700011,113.99542240001,116.63787950002,40,1,,L1_H0_S1
0,NaN,113.99542240001,117.995592800027,1.49642720000702,1,42,L1_H0_S1,
2,0.938769300002605,117.995592800027,121.995564200013,124.933923000004,42,24,,L2_H1_S3
0,NaN,121.995564200013,125.99687990002,1.49497050000355,24,41,L2_H1_S3,
