preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
2,1.33734389999881,9.99724890000653,13.9973496999592,17.3347156000091,39,29,,L3_H0_S3
0,NaN,13.9973496999592,17.9973562000087,1.49436630005948,29,17,L3_H0_S3,L2_H0_S3
0,NaN,17.9973562000087,21.9973917999305,1.49428830004763,17,27,L2_H0_S3,L3_H0_S2
0,NaN,21.9973917999305,25.9974785000086,1.49422469991259,27,38,L3_H0_S2,
0,NaN,25.9974785000086,29.9975530999945,1.49415329995099,38,7,,L1_H1_S1
0,NaN,29.9975530999945,33.9975437999237,1.49417159997392,7,33,L1_H1_S1,L3_H1_S2
2,1.24113330000546,33.9975437999237,37.9976290999912,41.2387976999162,33,10,L3_H1_S2,L1_H1_S2
2,0.841106300009415,37.9976290999912,41.9976893999847,44.8388122000033,10,41,L1_H1_S2,
0,NaN,41.9976893999847,45.9977815999882,1.49385980004445,41,31,,L3_H1_S1
0,NaN,45.9977815999882,49.9977994000074,1.49391270009801,31,11,L3_H1_S1,L1_H1_S3
0,NaN,49.9977994000074,53.9978253999725,1.49383849999867,11,8,L1_H1_S3,L1_H1_S1
2,1.16892399999779,53.9978253999725,57.9979099999182,61.1668296999997,8,25,L1_H1_S1,L3_H0_S1
1,0.936911599943414,57.9979099999182,61.9979438999435,64.9348613999318,25,15,L3_H0_S1,L2_H0_S2
1,0.280797599931248,61.9979438999435,65.9980209999485,68.2788090999238,15,42,L2_H0_S2,
0,NaN,65.9980209999485,69.998114499962,1.49365890002809,42,32,,L3_H1_S1
1,1.47274120000657,69.998114499962,73.9981313999742,77.4708541999571,32,20,L3_H1_S1,L2_H1_S1
0,NaN,73.9981313999742,77.9981569999363,1.4935628999956,20,14,L2_H1_S1,L2_H0_S1
0,NaN,77.9981569999363,81.9982090999838,1.49352080002427,14,19,L2_H0_S1,L2_H1_S1
0,NaN,81.9982090999838,85.9983256999403,1.49345489998814,19,37,L2_H1_S1,
0,NaN,85.9983256999403,89.9983549999306,1.49336379999295,37,2,,L1_H0_S1
0,NaN,89.9983549999306,93.998406299972,1.49332739994861,2,4,L1_H0_S1,L1_H0_S2
1,1.44851500005461,93.998406299972,97.9984622999327,101.446963299997,4,1,L1_H0_S2,L1_H0_S1
0,NaN,97.9984622999327,101.998555199942,1.4932241999777,1,28,L1_H0_S1,L3_H0_S2
2,0.792343299952336,101.998555199942,105.998585299938,108.790902299923,28,40,L3_H0_S2,
0,NaN,105.998585299938,109.998605699977,1.49305549997371,40,26,,L3_H0_S1
0,NaN,109.998605699977,113.998686100007,1.49299579998478,26,16,L3_H0_S1,L2_H0_S2
0,NaN,113.998686100007,117.998780699912,1.49299539998174,16,21,L2_H0_S2,L2_H1_S2
0,NaN,117.998780699912,121.998809499899,1.49295170011465,21,35,L2_H1_S2,L3_H1_S3
0,NaN,121.998809499899,125.998880299972,1.49287600000389,35,18,L3_H1_S3,L2_H0_S3
0,NaN,125.998880299972,129.998881899985,1.49284299998544,18,43,L2_H0_S3,
2,1.44003729999531,129.998881899985,133.998970899964,137.438954399899,43,13,,L2_H0_S1
0,NaN,133.998970899964,137.998980099917,1.49272340000607,13,30,L2_H0_S1,L3_H0_S3
0,NaN,137.998980099917,141.999047699966,1.49264940002467,30,5,L3_H0_S3,L1_H0_S3
2,1.13564260001294,141.999047699966,145.999166999944,149.134755600011,5,24,L1_H0_S3,L2_H1_S3
2,1.39159590005875,145.999166999944,149.999155299971,153.390762700001,24,9,L2_H1_S3,L1_H1_S2
2,1.43964260001667,149.999155299971,153.999238299904,157.438866699929,9,12,L1_H1_S2,L1_H1_S3
0,NaN,153.999238299904,157.999341399991,1.49239200004376,12,23,L1_H1_S3,L2_H1_S3
0,NaN,157.999341399991,161.999382199952,1.49236919998657,23,34,L2_H1_S3,L3_H1_S2
0,NaN,161.999382199952,165.999445899972,1.49233399995137,34,36,L3_H1_S2,L3_H1_S3
