preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
2,1.42456600000151,10.0055757999653,14.0055869999342,17.4301270999713,11,20,L1_H1_S3,L2_H1_S1
0,NaN,14.0055869999342,18.0056160000386,1.48609969997779,20,37,L2_H1_S1,
0,NaN,18.0056160000386,22.005692500039,1.48605379997753,37,10,,L1_H1_S2
0,NaN,22.005692500039,26.0057782999938,1.48596289998386,10,16,L1_H1_S2,L2_H0_S2
0,NaN,26.0057782999938,30.005767500028,1.48596189997625,16,28,L2_H0_S2,L3_H0_S2
0,NaN,30.005767500028,34.0059039000189,1.48593379999511,28,27,L3_H0_S2,L3_H0_S2
0,NaN,34.0059039000189,38.0059172000038,1.48581310000736,27,32,L3_H0_S2,L3_H1_S1
0,NaN,38.0059172000038,42.0059901999775,1.48576859990135,32,6,L3_H1_S1,L1_H0_S3
2,1.40021330001764,42.0059901999775,46.006027800031,49.4062374000205,6,2,L1_H0_S3,L1_H0_S1
2,1.12812000000849,46.006027800031,50.006079499959,53.1341835999629,2,25,L1_H0_S1,L3_H0_S1
2,1.48009580001235,50.006079499959,54.0061383999418,57.486212000018,25,29,L3_H0_S1,L3_H0_S3
1,0.888075200025924,54.0061383999418,58.0062320999568,60.894246699987,29,30,L3_H0_S3,L3_H0_S3
2,1.21605130005628,58.0062320999568,62.0062434000429,65.2222862000344,30,21,L3_H0_S3,L2_H1_S2
0,NaN,62.0062434000429,66.0063031000318,1.48542289994657,21,39,L2_H1_S2,
2,0.967921399977058,66.0063031000318,70.0063848999562,72.9742557000136,39,13,,L2_H0_S1
0,NaN,70.0063848999562,74.0064545000205,1.4853006999474,13,42,L2_H0_S1,
2,1.36787289998028,74.0064545000205,78.0064327999717,81.3742905999534,42,31,,L3_H1_S1
0,NaN,78.0064327999717,82.0064906999469,1.48524569999427,31,9,L3_H1_S1,L1_H1_S2
0,NaN,82.0064906999469,86.0065861999756,1.48513449996244,9,8,L1_H1_S2,L1_H1_S1
0,NaN,86.0065861999756,90.0066683000186,1.48513139993884,8,5,L1_H1_S1,L1_H0_S3
0,NaN,90.0066683000186,94.0066905999556,1.48505190003198,5,1,L1_H0_S3,L1_H0_S1
0,NaN,94.0066905999556,98.0067852999782,1.48500230000354,1,19,L1_H0_S1,L2_H1_S1
1,1.42344530008268,98.0067852999782,102.006802699994,105.430228200043,19,24,L2_H1_S1,L2_H1_S3
0,NaN,102.006802699994,106.006887799944,1.48486119997688,24,14,L2_H1_S3,L2_H0_S1
0,NaN,106.006887799944,110.006908599986,1.48478579998482,14,41,L2_H0_S1,
2,1.2553370000096,110.006908599986,114.00693839998,117.262310900027,41,33,,L3_H1_S2
0,NaN,114.00693839998,118.007019000012,1.48471260000952,33,40,L3_H1_S2,
1,1.33530630008318,118.007019000012,122.00710789999,125.342349900049,40,22,,L2_H1_S2
2,1.40720040001906,122.00710789999,126.007076799986,129.414279800025,22,35,L2_H1_S2,L3_H1_S3
0,NaN,126.007076799986,130.007209899952,1.48456980008632,35,4,L3_H1_S3,L1_H0_S2
0,NaN,130.007209899952,134.00719569996,1.48451710003428,4,15,L1_H0_S2,L2_H0_S2
0,NaN,134.00719569996,138.007263000007,1.4844454000704,15,43,L2_H0_S2,
0,NaN,138.007263000007,142.007344100042,1.48433730006218,43,3,,L1_H0_S2
