preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
2,0.697557599982247,10.0046209999709,14.0045736000175,16.7021347999689,7,16,L1_H1_S1,L2_H0_S2
1,0.617621799989138,14.0045736000175,18.0045806000126,20.6222143999767,16,1,L2_H0_S2,L1_H0_S1
1,0.609486699977424,18.0045806000126,22.0046745999716,24.6141338999732,1,14,L1_H0_S1,L2_H0_S1
0,NaN,22.0046745999716,26.0046697999933,1.48703459999524,14,27,L2_H0_S1,L3_H0_S2
2,0.593605000001844,26.0046697999933,30.0048016000073,32.5983544000192,27,15,L3_H0_S2,L2_H0_S2
1,0.585381399956532,30.0048016000073,34.0048643000191,36.5902005999815,15,33,L2_H0_S2,L3_H1_S2
2,0.513503700029105,34.0048643000191,38.0049097000156,40.5183567000204,33,17,L3_H1_S2,L2_H0_S3
0,NaN,38.0049097000156,42.0049016000121,1.48677840002347,17,43,L2_H0_S3,
2,0.9054613999906,42.0049016000121,46.0049702000106,48.9104256000137,43,26,,L3_H0_S1
0,NaN,46.0049702000106,50.0051037999801,1.48669410002185,26,40,L3_H0_S1,
2,0.569243200006895,50.0051037999801,54.005135799991,56.5743180999998,40,25,,L3_H0_S1
1,0.601322800037451,54.005135799991,58.0051477000234,60.606457100017,25,6,L3_H0_S1,L1_H0_S3
1,0.521162100019865,58.0051477000234,62.0051784000243,64.5263498999993,6,20,L1_H0_S3,L2_H1_S1
2,0.545133000006899,62.0051784000243,66.0052562999772,68.5503501999774,20,18,L2_H1_S1,L2_H0_S3
2,0.537015700014308,66.0052562999772,70.0053498999914,72.5422951999935,18,36,L2_H0_S3,L3_H1_S3
1,0.552945900009945,70.0053498999914,74.005336400005,76.55827400001,36,28,L3_H1_S3,L3_H0_S2
1,0.544823999982327,74.005336400005,78.0054624999757,80.5502316000056,28,19,L3_H0_S2,L2_H1_S1
0,NaN,78.0054624999757,82.0054798999918,1.48623260000022,19,39,L2_H1_S1,
2,0.71279640001012,82.0054798999918,86.0055797999958,88.7183073000051,39,11,,L1_H1_S3
2,0.80871329997899,86.0055797999958,90.0055883000023,92.8142847999698,11,3,L1_H1_S3,L1_H0_S2
0,NaN,90.0055883000023,94.0056835999712,1.48604790004902,3,42,L1_H0_S2,
0,NaN,94.0056835999712,98.0057007999858,1.48603030003142,42,37,,
1,0.696622899966314,98.0057007999858,102.005801499996,104.702366399986,37,32,,L3_H1_S1
2,0.704588599968702,102.005801499996,106.005812200019,108.710386199993,32,24,L3_H1_S1,L2_H1_S3
0,NaN,106.005812200019,110.005908399995,1.48583059996599,24,13,L2_H1_S3,L2_H0_S1
2,1.02438070002245,110.005908399995,114.005917000002,117.030285899993,13,23,L2_H0_S1,L2_H1_S3
2,0.848477100022137,114.005917000002,118.006009100005,120.854413599998,23,22,L2_H1_S3,L2_H1_S2
1,0.560342399985529,118.006009100005,122.006001500005,124.566334899981,22,31,L2_H1_S2,L3_H1_S1
0,NaN,122.006001500005,126.006044799986,1.48563040001318,31,38,L3_H1_S1,
2,1.00028760003624,126.006044799986,130.006146700005,133.006416100019,38,8,,L1_H1_S1
2,0.98416290001478,130.006146700005,134.006238500006,136.99034650001,8,10,L1_H1_S1,L1_H1_S2
1,0.640051800000947,134.006238500006,138.006256400025,140.646287999989,10,2,L1_H1_S2,L1_H0_S1
1,0.496056900010444,138.006256400025,142.006309700024,144.502355300006,2,12,L1_H0_S1,L1_H1_S3
1,0.496024499996565,142.006309700024,146.006371299969,148.502380200021,12,5,L1_H1_S3,L1_H0_S3
2,0.49585330003174,146.006371299969,150.006461300014,152.502355000004,5,30,L1_H0_S3,L3_H0_S3
2,0.495745300024282,150.006461300014,154.006475800008,156.502247800003,30,35,L3_H0_S3,L3_H1_S3
1,0.535865799989551,154.006475800008,158.006549199985,160.542384399974,35,9,L3_H1_S3,L1_H1_S2
0,NaN,158.006549199985,162.006587599986,1.48512719996506,9,41,L1_H1_S2,
2,0.535820999997668,162.006587599986,166.006685599976,168.542420400016,41,29,,L3_H0_S3
1,0.495689500006847,166.006685599976,170.006670299976,172.502347200003,29,21,L3_H0_S3,L2_H1_S2
2,0.647668200021144,170.006670299976,174.006785999984,176.654380200023,21,4,L2_H1_S2,L1_H0_S2
1,0.519586900016293,174.006785999984,178.006809599989,180.526383600023,4,34,L1_H0_S2,L3_H1_S2
