preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
1,0.784647399967071,10.0060321000055,14.0061226999969,16.7907086999621,30,32,L3_H0_S3,L3_H1_S1
1,0.792631899996195,14.0061226999969,18.0061344999704,20.7987398999976,32,22,L3_H1_S1,L2_H1_S2
2,0.648476200003643,18.0061344999704,22.0062276999815,24.6546336999745,22,16,L2_H1_S2,L2_H0_S2
2,0.616525700024795,22.0062276999815,26.0062699000118,28.6227065999992,16,35,L2_H0_S2,L3_H1_S3
2,0.704581199970562,26.0062699000118,30.0062396000139,32.7107980999863,35,31,L3_H1_S3,L3_H1_S1
2,0.672008899971843,30.0062396000139,34.0063060999964,36.6784141999669,31,29,L3_H1_S1,L3_H0_S3
1,0.792303399997763,34.0063060999964,38.0063486999716,40.7987452999805,29,15,L3_H0_S3,L2_H0_S2
0,NaN,38.0063486999716,42.0064484999748,1.48526200000197,15,41,L2_H0_S2,
2,0.696043299976736,42.0064484999748,46.0064678000053,48.7024962999858,41,6,,L1_H0_S3
2,0.967936299974099,46.0064678000053,50.0064759000088,52.9744650999783,6,8,L1_H0_S3,L1_H1_S1
2,0.896113199996762,50.0064759000088,54.0066106999875,56.9027334999992,8,20,L1_H1_S1,L2_H1_S1
2,1.12804040004266,54.0066106999875,58.0066041999962,61.1346871000133,20,3,L2_H1_S1,L1_H0_S2
1,0.800145999994129,58.0066041999962,62.0067315999768,64.8068234999664,3,1,L1_H0_S2,L1_H0_S1
2,0.871833099983633,62.0067315999768,66.0067166999797,68.8785501999664,1,23,L1_H0_S1,L2_H1_S3
2,0.80012520001037,66.0067166999797,70.0068285000161,72.806872199988,23,21,L2_H1_S3,L2_H1_S2
1,0.80773419997422,70.0068285000161,74.0069011999876,76.8145858999924,21,26,L2_H1_S2,L3_H0_S1
1,0.791908000013791,74.0069011999876,78.0068087999825,80.7987227999838,26,14,L3_H0_S1,L2_H0_S1
1,0.919902999943588,78.0068087999825,82.0068793999963,84.9267926999601,14,5,L2_H0_S1,L1_H0_S3
2,0.671698299993295,82.0068793999963,86.0069886000128,88.67863759998,5,12,L1_H0_S3,L1_H1_S3
2,0.791639899951406,86.0069886000128,90.0070096999989,92.7986283999635,12,34,L1_H1_S3,L3_H1_S2
0,NaN,90.0070096999989,94.0070964999613,1.48461430001771,34,43,L3_H1_S2,
2,1.01561629999196,94.0070964999613,98.0071051999694,101.022702199989,43,19,,L2_H1_S1
0,NaN,98.0071051999694,102.007196699968,1.48457490000874,19,42,L2_H1_S1,
2,0.815475100011099,102.007196699968,106.007195600017,108.822668500012,42,28,,L3_H0_S2
1,0.727218399988487,106.007195600017,110.007218300016,112.734446899965,28,13,L3_H0_S2,L2_H0_S1
0,NaN,110.007218300016,114.007305799983,1.4844384000171,13,37,L2_H0_S1,
1,1.10332070000004,114.007305799983,118.007387899968,121.11065290001,37,7,,L1_H1_S1
2,0.815315300016664,118.007387899968,122.007396099973,124.822691900015,7,11,L1_H1_S1,L1_H1_S3
2,0.871157600020524,122.007396099973,126.007422199997,128.878555700008,11,10,L1_H1_S3,L1_H1_S2
2,0.639085400034674,126.007422199997,130.007463200018,132.6465341,10,17,L1_H1_S2,L2_H0_S3
2,0.79112059995532,130.007463200018,134.00758049998,136.798621499969,17,18,L2_H0_S3,L2_H0_S3
0,NaN,134.00758049998,138.007640299969,1.48409109999193,18,39,L2_H0_S3,
2,1.39873119996628,138.007640299969,142.007753500016,145.406414899975,39,24,,L2_H1_S3
0,NaN,142.007753500016,146.007730500016,1.48402840003837,24,25,L2_H1_S3,L3_H0_S1
2,0.878867199993692,146.007730500016,150.007824099972,152.886585599976,25,36,L3_H0_S1,L3_H1_S3
1,0.838714300014544,150.007824099972,154.007792199962,156.846518000006,36,9,L3_H1_S3,L1_H1_S2
0,NaN,154.007792199962,158.007882100006,1.4838948000106,9,40,L1_H1_S2,
0,NaN,158.007882100006,162.0078889,1.48384489997989,40,38,,
1,1.28651639999589,162.0078889,166.007960699964,169.294433299976,38,2,,L1_H0_S1
