preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
1,1.21891529997811,10.0031253999914,13.9993442000123,17.2202866000007,23,18,L2_H1_S3,L2_H0_S3
2,1.2770042999764,13.9993442000123,18.0005470000324,21.2764713999932,18,27,L2_H0_S3,L3_H0_S2
1,1.14959500002442,18.0005470000324,21.9996656000149,25.1483630000148,27,1,L3_H0_S2,L1_H0_S1
1,1.04919009999139,21.9996656000149,25.9954884999897,29.0438254000037,1,34,L1_H0_S1,L3_H1_S2
0,NaN,25.9954884999897,29.9948815000243,1.49768259999109,34,41,L3_H1_S2,
2,1.19325140002184,29.9948815000243,33.9952974999906,37.1878329000319,41,31,,L3_H1_S1
1,1.09308680001413,33.9952974999906,37.9995152000338,41.0916335000074,31,9,L3_H1_S1,L1_H1_S2
0,NaN,37.9995152000338,41.9998596000369,1.49270060000708,9,40,L1_H1_S2,
2,1.17343880003318,41.9998596000369,46.0003305000137,49.1717028000276,40,11,,L1_H1_S3
1,1.42086600000039,46.0003305000137,50.0000115000294,53.4198016999871,11,5,L1_H1_S3,L1_H0_S3
2,1.19667670002673,50.0000115000294,53.9989682000014,57.1957278000191,5,16,L1_H0_S3,L2_H0_S2
2,0.972905599977821,53.9989682000014,58.0002397000208,60.971638899995,16,28,L2_H0_S2,L3_H0_S2
2,1.44487229996594,58.0002397000208,62.0000684999977,65.4436055999831,28,35,L3_H0_S2,L3_H1_S3
0,NaN,62.0000684999977,66.0003183999797,1.49366360000568,35,42,L3_H1_S3,
0,NaN,66.0003183999797,69.9989678999991,1.49289950000821,42,33,,L3_H1_S2
0,NaN,69.9989678999991,74.0005275000003,1.49301519995788,33,32,L3_H1_S2,L3_H1_S1
2,1.46492290002061,74.0005275000003,77.9951693000039,81.4595476000104,32,13,L3_H1_S1,L2_H0_S1
0,NaN,77.9951693000039,81.9952625000151,1.49692590004997,13,37,L2_H0_S1,
0,NaN,81.9952625000151,85.9951472000103,1.49706750002224,37,7,,L1_H1_S1
0,NaN,85.9951472000103,90.0001425999799,1.49288490001345,7,26,L1_H1_S1,L3_H0_S1
0,NaN,90.0001425999799,93.9982832000242,1.49379460001364,26,43,L3_H0_S1,
2,1.30083159997594,93.9982832000242,98.0004942999803,101.299482700008,43,3,,L1_H0_S2
1,1.39660019997973,98.0004942999803,102.000219799986,105.395457700011,3,22,L1_H0_S2,L2_H1_S2
2,1.22886739997193,102.000219799986,106.000771299994,109.227462899988,22,2,L2_H1_S2,L1_H0_S1
0,NaN,106.000771299994,109.999195799988,1.49265500000911,2,29,L1_H0_S1,L3_H0_S3
2,1.20460540003842,109.999195799988,113.999505200016,117.203458500037,29,14,L3_H0_S3,L2_H0_S1
0,NaN,113.999505200016,117.999302699987,1.49294930003816,14,17,L2_H0_S1,L2_H0_S3
2,1.06061819999013,117.999302699987,122.00094920001,125.059428100009,17,20,L2_H0_S3,L2_H1_S1
0,NaN,122.00094920001,126.000453300017,1.49683329998516,20,6,L2_H1_S1,L1_H0_S3
2,1.36898409994319,126.000453300017,129.995306099998,133.363354999979,6,24,L1_H0_S3,L2_H1_S3
0,NaN,129.995306099998,133.994877199992,1.49716460000491,24,38,L2_H1_S3,
2,1.22841999999946,133.994877199992,137.995362000016,141.227348399989,38,25,,L3_H0_S1
0,NaN,137.995362000016,141.999427100003,1.49259430001257,25,39,L3_H0_S1,
2,1.19674380001379,141.999427100003,146.000801099988,149.195339800033,39,12,,L1_H1_S3
0,NaN,146.000801099988,149.999327700003,1.49267990002409,12,21,L1_H1_S3,L2_H1_S2
1,1.29241390002426,149.999327700003,154.000581800006,157.291280600009,21,30,L2_H1_S2,L3_H0_S3
0,NaN,154.000581800006,157.999384400027,1.49241659999825,30,4,L3_H0_S3,L1_H0_S2
1,1.27627579995897,157.999384400027,162.001889000006,165.275256299996,4,15,L1_H0_S2,L2_H0_S2
0,NaN,162.001889000006,166.000471899984,1.49328399996739,15,19,L2_H0_S2,L2_H1_S1
0,NaN,166.000471899984,170.000295000034,1.49247520003701,19,8,L2_H1_S1,L1_H1_S1
0,NaN,170.000295000034,174.000255200022,1.49278069997672,8,36,L1_H1_S1,L3_H1_S3
2,1.11270419997163,174.000255200022,177.995825299993,181.107266100007,36,10,L3_H1_S3,L1_H1_S2
1,1.29644799995003,177.995825299993,181.995703699999,185.291246899986,10,31,L1_H1_S2,L3_H1_S1
1,1.21659399999771,181.995703699999,185.995151899988,189.211177500023,31,22,L3_H1_S1,L2_H1_S2
1,1.06822660000762,185.995151899988,189.999030600011,193.06721790001,22,30,L2_H1_S2,L3_H0_S3
0,NaN,189.999030600011,193.999153400015,1.49357360001886,30,40,L3_H0_S3,
2,1.3563880000147,193.999153400015,197.999637600034,201.355241400015,40,10,,L1_H1_S2
1,1.01233549998142,197.999637600034,202.001392400009,205.011145099998,10,9,L1_H1_S2,L1_H1_S2
2,1.17217390000587,202.001392400009,206.000471499981,209.171139999991,9,12,L1_H1_S2,L1_H1_S3
1,1.34037380001973,206.000471499981,209.999183000007,213.339211700018,12,19,L1_H1_S3,L2_H1_S1
0,NaN,209.999183000007,213.998347299988,1.49357749999035,19,39,L2_H1_S1,
2,0.996464400028344,213.998347299988,218.000529700017,220.995150700037,39,35,,L3_H1_S3
0,NaN,218.000529700017,222.001010900014,1.49247319996357,35,1,L3_H1_S3,L1_H0_S1
2,1.34867039998062,222.001010900014,226.001158900035,229.34729559999,1,13,L1_H0_S1,L2_H0_S1
2,1.42446890001884,226.001158900035,229.995214299997,233.419184300001,13,24,L2_H0_S1,L2_H1_S3
0,NaN,229.995214299997,233.995102900022,1.49712899996666,24,43,L2_H1_S3,
2,1.18006580002839,233.995102900022,237.995324200019,241.179024500016,43,3,,L1_H0_S2
1,1.1079682999989,237.995324200019,242.001066100027,245.107006300008,3,34,L1_H0_S2,L3_H1_S2
2,1.34002850000979,242.001066100027,246.001214999997,249.339053400035,34,25,L3_H1_S2,L3_H0_S1
1,1.38794210000196,246.001214999997,249.999089199991,253.387035300024,25,36,L3_H0_S1,L3_H1_S3
2,1.0758402000065,249.999089199991,253.999572100001,257.074980300036,36,28,L3_H1_S3,L3_H0_S2
1,1.31606660003308,253.999572100001,258.000434299989,261.315078300016,28,8,L3_H0_S2,L1_H1_S1
2,1.2122512999922,258.000434299989,262.001016499999,265.211254300026,8,14,L1_H1_S1,L2_H0_S1
0,NaN,262.001016499999,266.000430300017,1.49378799996339,14,38,L2_H0_S1,
0,NaN,266.000430300017,269.99917840003,1.49254849995486,38,4,,L1_H0_S2
0,NaN,269.99917840003,274.00017980003,1.49282729998231,4,2,L1_H0_S2,L1_H0_S1
0,NaN,274.00017980003,277.998995000031,1.49678800004767,2,16,L1_H0_S1,L2_H0_S2
1,1.18442190001952,277.998995000031,281.995933600003,285.179025000019,16,20,L2_H0_S2,L2_H1_S1
1,1.20038799999747,281.995933600003,285.995339000016,289.195115300012,20,32,L2_H1_S1,L3_H1_S1
2,1.29995700001018,285.995339000016,290.000128999993,293.299068299995,32,27,L3_H1_S1,L3_H0_S2
1,1.33183700003428,290.000128999993,293.998950000037,297.330887600023,27,17,L3_H0_S2,L2_H0_S3
2,0.82775880000554,293.998950000037,298.000144699996,300.826897200022,17,29,L2_H0_S3,L3_H0_S3
1,1.25168440002017,298.000144699996,302.000234000036,305.250881200016,29,33,L3_H0_S3,L3_H1_S2
0,NaN,302.000234000036,305.999492500036,1.49375110003166,33,37,L3_H1_S2,
1,1.04391070001293,305.999492500036,309.999340399983,313.042900900007,37,15,,L2_H0_S2
1,1.21177380002337,309.999340399983,314.000147300016,317.210803500027,15,5,L2_H0_S2,L1_H0_S3
