preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
1,1.33928600000218,10.011505100003,14.0115583000006,17.3507471000194,25,21,L3_H0_S1,L2_H1_S2
1,1.03536440001335,14.0115583000006,18.0116436000098,21.0468689000118,21,36,L2_H1_S2,L3_H1_S3
2,0.931698200001847,18.0116436000098,22.0116130000097,24.9265685999999,36,28,L3_H1_S3,L3_H0_S2
1,0.963889500009827,22.0116130000097,26.0116382000269,28.9588066000142,28,19,L3_H0_S2,L2_H1_S1
2,0.971610000007786,26.0116382000269,30.0116800999967,32.9665769999847,19,10,L2_H1_S1,L1_H1_S2
2,1.10711250000168,30.0116800999967,34.0117949999985,37.1188201000332,10,6,L1_H1_S2,L1_H0_S3
2,1.1236179000116,34.0117949999985,38.0119132000254,41.1187466999982,6,31,L1_H0_S3,L3_H1_S1
1,0.979521899949759,38.0119132000254,42.0119011999923,44.9746641999809,31,7,L3_H1_S1,L1_H1_S1
0,NaN,42.0119011999923,46.0119836999802,1.49653229996329,7,41,L1_H1_S1,
2,1.01877080003032,46.0119836999802,50.0119919999852,53.0307030000258,41,22,,L2_H1_S2
1,0.987262000038754,50.0119919999852,54.012069599994,56.9825508000213,22,4,L2_H1_S2,L1_H0_S2
2,1.21931130002486,54.012069599994,58.0121623000014,61.2146459000069,4,32,L1_H0_S2,L3_H1_S1
2,1.34722579998197,58.0121623000014,62.0121476000058,65.342610599997,32,27,L3_H1_S1,L3_H0_S2
2,0.867341500008479,62.0121476000058,66.0122478000121,68.8627703000093,27,33,L3_H0_S2,L3_H1_S2
1,0.931283199985046,66.0122478000121,70.0122467000037,72.9267663999926,33,30,L3_H1_S2,L3_H0_S3
0,NaN,70.0122467000037,73.9955068000127,1.49616909999168,30,40,L3_H0_S3,
0,NaN,73.9955068000127,77.9956232000259,1.49614410003414,40,5,,L1_H0_S3
1,0.898985999985598,77.9956232000259,81.9956072000205,84.8946120999753,5,3,L1_H0_S3,L1_H0_S2
2,1.03483860002598,81.9956072000205,86.012444699998,89.0305119000259,3,35,L1_H0_S2,L3_H1_S3
1,0.882912200002465,86.012444699998,90.0125320000225,92.8786349000293,35,29,L3_H1_S3,L3_H0_S3
2,1.03471610002453,90.0125320000225,94.0125404000282,97.0304864000063,29,12,L3_H0_S3,L1_H1_S3
0,NaN,94.0125404000282,97.9958608000306,1.49585020000814,12,43,L1_H1_S3,
1,0.978840499999933,97.9958608000306,102.012626599986,104.974718099984,43,13,,L2_H0_S1
2,1.19491210003616,102.012626599986,106.012749299989,109.190844900033,13,34,L2_H0_S1,L3_H1_S2
1,1.03455749998102,106.012749299989,110.012738300022,113.030516300001,34,16,L3_H1_S2,L2_H0_S2
2,1.00269710004795,110.012738300022,114.012797500007,116.998711800028,16,11,L2_H0_S2,L1_H1_S3
0,NaN,114.012797500007,117.996051500028,1.49564829998417,11,38,L1_H1_S3,
1,1.00246280001011,117.996051500028,121.996126300015,124.998547499999,38,20,,L2_H1_S1
2,1.17032440000912,121.996126300015,125.996204200026,129.166453299986,20,26,L2_H1_S1,L3_H0_S1
1,0.92240739997942,125.996204200026,129.996191599988,132.918588900007,26,15,L3_H0_S1,L2_H0_S2
0,NaN,129.996191599988,133.996311800031,1.49545380001655,15,39,L2_H0_S2,
2,1.29037790000439,133.996311800031,137.996326200024,141.28668140003,39,24,,L2_H1_S3
2,0.850139499991201,137.996326200024,141.996414599998,144.846520200023,24,14,L2_H1_S3,L2_H0_S1
2,1.01005109999096,141.996414599998,145.996384800004,149.006465899991,14,17,L2_H0_S1,L2_H0_S3
1,0.842090300051495,145.996384800004,149.996511899983,152.838540600031,17,18,L2_H0_S3,L2_H0_S3
2,0.0741327999858186,149.996511899983,153.996516300016,156.070634600008,18,23,L2_H0_S3,L2_H1_S3
2,0.865967800025828,153.996516300016,157.996610699978,160.862534900021,23,8,L2_H1_S3,L1_H1_S1
0,NaN,157.996610699978,161.996615200012,1.49508770002285,8,37,L1_H1_S1,
1,0.906002499978058,161.996615200012,165.996638200013,168.902649900003,37,1,,L1_H0_S1
2,1.05774650000967,165.996638200013,169.996711499989,173.0544429,1,9,L1_H0_S1,L1_H1_S2
0,NaN,169.996711499989,173.996784900024,1.49499269999797,9,42,L1_H1_S2,
1,1.08185619994765,173.996784900024,177.996772099985,181.078641899978,42,2,,L1_H0_S1
1,0.98573190002935,177.996772099985,181.996828500007,184.982564100006,2,13,L1_H0_S1,L2_H0_S1
2,1.10561810003128,181.996828500007,185.996906100016,189.10250400001,13,19,L2_H0_S1,L2_H1_S1
2,0.905685599951539,185.996906100016,189.996996800008,192.90264689998,19,18,L2_H1_S1,L2_H0_S3
1,1.11366619996261,189.996996800008,193.997010499996,197.11065029999,18,36,L2_H0_S3,L3_H1_S3
1,0.937611500034109,193.997010499996,197.997090500023,200.934645300033,36,26,L3_H1_S3,L3_H0_S1
0,NaN,197.997090500023,201.997100599983,1.49464469996747,26,39,L3_H0_S1,
1,1.01732660003472,201.997100599983,205.997189300018,209.014459000027,39,6,,L1_H0_S3
0,NaN,205.997189300018,209.99719949998,1.49452139995992,6,43,L1_H0_S3,
2,1.00919140002225,209.99719949998,213.997314599983,217.006431600021,43,32,,L3_H1_S1
1,0.993279499991331,213.997314599983,217.997275899979,220.990581399994,32,30,L3_H1_S1,L3_H0_S3
0,NaN,217.997275899979,221.997384699993,1.49442970001837,30,40,L3_H0_S3,
2,1.00904069998069,221.997384699993,226.01402360003,229.006389999995,40,4,,L1_H0_S2
2,0.873046199965756,226.01402360003,229.997508700006,232.870442299987,4,35,L1_H0_S2,L3_H1_S3
1,0.889054499974009,229.997508700006,233.997492099996,236.886527499999,35,28,L3_H1_S3,L3_H0_S2
0,NaN,233.997492099996,237.997585400008,1.49418710003374,28,37,L3_H0_S2,
2,1.0809476999566,237.997585400008,241.997584700002,245.078520299983,37,34,,L3_H1_S2
1,0.952924599987455,241.997584700002,245.997664700029,248.950643300021,34,2,L3_H1_S2,L1_H0_S1
2,0.96875810000347,245.997664700029,249.997747200017,252.966428600019,2,17,L1_H0_S1,L2_H0_S3
1,1.00075130001642,249.997747200017,253.997720099986,256.998479700007,17,14,L2_H0_S3,L2_H0_S1
0,NaN,253.997720099986,257.997767599998,1.49395350000123,14,42,L2_H0_S1,
2,1.03253179998137,257.997767599998,261.99779980001,265.030379100004,42,24,,L2_H1_S3
2,0.928527400013991,261.99779980001,265.997899700014,268.926401000004,24,8,L2_H1_S3,L1_H1_S1
1,0.704433599952608,265.997899700014,269.997976300016,272.702341999975,8,7,L1_H1_S1,L1_H1_S1
2,0.976484899991192,269.997976300016,273.997956699983,276.974416000012,7,25,L1_H1_S1,L3_H0_S1
2,0.856469499995001,273.997956699983,277.998050299997,280.854470800026,25,27,L3_H0_S1,L3_H0_S2
1,0.896529500023462,277.998050299997,281.998039500031,284.894577400002,27,21,L3_H0_S2,L2_H1_S2
0,NaN,281.998039500031,285.998147299979,1.49360079999315,21,41,L2_H1_S2,
2,1.05618850002065,285.998147299979,289.998165500001,293.054339000024,41,16,,L2_H0_S2
2,1.09616350004217,289.998165500001,293.998254599981,297.094365700032,16,12,L2_H0_S2,L1_H1_S3
0,NaN,293.998254599981,297.998264900001,1.49347910005599,12,38,L1_H1_S3,
1,0.975989600003231,297.998264900001,301.998354299983,304.974316000007,38,11,,L1_H1_S3
1,1.10413530003279,301.998354299983,305.99835780001,309.102468200028,11,10,L1_H1_S3,L1_H1_S2
1,1.19995819998439,305.99835780001,309.998385199986,313.198352199979,10,31,L1_H1_S2,L3_H1_S1
1,1.00793819996761,309.998385199986,313.998459100025,317.00638039998,31,20,L3_H1_S1,L2_H1_S1
2,0.871872699994128,313.998459100025,317.998561999993,320.870361700014,20,9,L2_H1_S1,L1_H1_S2
2,0.943787499971222,317.998561999993,321.998554999998,324.942298699985,9,29,L1_H1_S2,L3_H0_S3
1,0.968019299965817,321.998554999998,325.998595500016,328.966578399995,29,3,L3_H0_S3,L1_H0_S2
1,0.80763500003377,325.998595500016,329.998620200029,332.806242100021,3,15,L1_H0_S2,L2_H0_S2
2,1.11978740000632,329.998620200029,333.998733000015,337.118473600014,15,5,L2_H0_S2,L1_H0_S3
2,0.959621299989522,333.998733000015,337.998805599986,340.958420099982,5,22,L1_H0_S3,L2_H1_S2
2,1.01563330000499,337.998805599986,341.998832400015,345.014501199999,22,23,L2_H1_S2,L2_H1_S3
2,0.807392899994738,341.998832400015,345.998882199987,348.806221699982,23,33,L2_H1_S3,L3_H1_S2
1,0.783378400024958,345.998882199987,349.998874099983,352.78227700002,33,1,L3_H1_S2,L1_H0_S1
