preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
0,NaN,10.0019470000407,14.0003243000247,1.49233139998978,35,1,L3_H1_S3,L1_H0_S1
1,0.707351599994581,14.0003243000247,18.000533100043,20.7064947999897,1,6,L1_H0_S1,L1_H0_S3
0,NaN,18.000533100043,21.9996296000318,1.49147820001235,6,43,L1_H0_S3,
2,0.931353199994192,21.9996296000318,26.0021085999906,28.930417000025,43,29,,L3_H0_S3
2,0.81546100002015,26.0021085999906,29.9953783000237,32.8105165000306,29,13,L3_H0_S3,L2_H0_S1
1,0.89527919999091,29.9953783000237,33.9955500999931,36.8903139000176,13,36,L2_H0_S1,L3_H1_S3
2,0.979132300009951,33.9955500999931,37.995471900038,40.978299600014,36,11,L3_H1_S3,L1_H1_S3
1,0.619171399972402,37.995471900038,42.0004701000289,44.618310299993,11,28,L1_H1_S3,L3_H0_S2
1,1.3390377999749,42.0004701000289,46.0015901000006,49.3382382999989,28,31,L3_H0_S2,L3_H1_S1
0,NaN,46.0015901000006,49.9999386999989,1.49253689998295,31,38,L3_H1_S1,
1,0.666703899973072,49.9999386999989,54.0000113000278,56.6662787999958,38,20,,L2_H1_S1
2,0.843230900005437,54.0000113000278,58.0003935000277,60.842127400043,20,26,L2_H1_S1,L3_H0_S1
1,1.28316500002984,58.0003935000277,62.000376800017,65.2823182000429,26,10,L3_H0_S1,L1_H1_S2
1,0.626928100013174,62.000376800017,66.0009953000117,68.6261420000228,10,32,L1_H1_S2,L3_H1_S1
2,0.771429200016428,66.0009953000117,70.0014378000051,72.770374100015,32,33,L3_H1_S1,L3_H1_S2
2,0.754682600032538,70.0014378000051,74.0000621000072,76.7540853000246,33,4,L3_H1_S2,L1_H0_S2
1,0.727088900050148,74.0000621000072,78.0003794000368,80.7221950000385,4,7,L1_H0_S2,L1_H1_S1
1,0.695020799990743,78.0003794000368,81.9957995000295,84.6901472000172,7,15,L1_H1_S1,L2_H0_S2
1,0.66299079998862,81.9957995000295,85.9957976000151,88.6581333000213,15,17,L2_H0_S2,L2_H0_S3
0,NaN,85.9957976000151,89.9993654999998,1.49253759998828,17,40,L2_H0_S3,
1,0.666109500045422,89.9993654999998,94.000131000008,96.665901600034,40,5,,L1_H0_S3
2,0.811237299989443,94.000131000008,97.9997758000391,100.81017870002,5,18,L1_H0_S3,L2_H0_S3
1,0.587135099980515,97.9997758000391,102.000456000038,104.586144600005,18,12,L2_H0_S3,L1_H1_S3
2,1.06696969998302,102.000456000038,106.00157610001,109.065986700007,12,8,L1_H1_S3,L1_H1_S1
1,0.835134699998889,106.00157610001,110.000094500021,112.834012300009,8,23,L1_H1_S1,L2_H1_S3
2,0.898577700019814,110.000094500021,113.999835600029,116.897953900043,23,25,L2_H1_S3,L3_H0_S1
0,NaN,113.999835600029,117.999642700015,1.49244959995849,25,37,L3_H0_S1,
1,0.939088199986145,117.999642700015,122.000376400014,124.938096600003,37,24,,L2_H1_S3
2,0.907127599988598,122.000376400014,126.001076100045,128.906070700032,24,27,L2_H1_S3,L3_H0_S2
