preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
0,NaN,9.99826999999641,14.0010075999962,1.49282800000219,43,3,,L1_H0_S2
0,NaN,14.0010075999962,17.9984810999958,1.49362820000533,3,38,L1_H0_S2,
1,0.755551700000069,17.9984810999958,21.9995309000005,24.7548046999946,38,10,,L1_H1_S2
2,0.923856699999305,21.9995309000005,25.999562500001,28.9228184999956,10,6,L1_H1_S2,L1_H0_S3
1,0.715626100005466,25.999562500001,29.9991712999981,32.7148237000001,6,21,L1_H0_S3,L2_H1_S2
2,0.735749799998302,29.9991712999981,33.9957368999967,36.7307800999988,21,13,L2_H1_S2,L2_H0_S1
0,NaN,33.9957368999967,37.9953726999956,1.49658880000061,13,37,L2_H0_S1,
2,0.939372099994216,37.9953726999956,41.9952693999949,44.9386297999954,37,16,,L2_H0_S2
2,0.843849699995189,41.9952693999949,45.9994406999976,48.8427479999955,16,30,L2_H0_S2,L3_H0_S3
1,0.803772400002345,45.9994406999976,49.9990821999963,52.8027455999982,30,14,L3_H0_S3,L2_H0_S1
2,1.25983329999872,49.9990821999963,54.0006776999944,57.2587228999982,14,33,L2_H0_S1,L3_H1_S2
0,NaN,54.0006776999944,57.9983025999973,1.49358589999611,33,40,L3_H1_S2,
2,0.691555000004882,57.9983025999973,61.9993226000006,64.6907181999995,40,31,,L3_H1_S1
1,0.883894599995983,61.9993226000006,65.9990962999946,68.8826599999957,31,22,L3_H1_S1,L2_H1_S2
1,1.13161620000028,65.9990962999946,69.9994326000015,73.1306798000005,22,8,L2_H1_S2,L1_H1_S1
2,0.755803599997307,69.9994326000015,74.0009446999975,76.7546997999962,8,28,L1_H1_S1,L3_H0_S2
1,1.44358740000462,74.0009446999975,78.0001826000007,81.4425364999988,28,15,L3_H0_S2,L2_H0_S2
1,1.25127619999694,78.0001826000007,81.9991494999995,85.2504459999982,15,32,L2_H0_S2,L3_H1_S1
2,0.735534200000984,81.9991494999995,85.9953234999994,88.7305688999986,32,25,L3_H1_S1,L3_H0_S1
1,0.727524300004006,85.9953234999994,89.9956112,92.7225624999992,25,34,L3_H0_S1,L3_H1_S2
2,0.763615099996969,89.9956112,93.9954703999974,96.762461499995,34,26,L3_H1_S2,L3_H0_S1
2,1.33945339999627,93.9954703999974,97.9991930999968,101.338342799994,26,36,L3_H0_S1,L3_H1_S3
1,0.979340300000331,97.9991930999968,101.999498699995,104.978576099995,36,24,L3_H1_S3,L2_H1_S3
0,NaN,101.999498699995,105.998389699998,1.49354489999678,24,39,L2_H1_S3,
1,1.03533949999837,105.998389699998,109.999491499999,113.034372599999,39,11,,L1_H1_S3
1,1.06770029999461,109.999491499999,114.000956899996,117.066497299995,11,9,L1_H1_S3,L1_H1_S2
0,NaN,114.000956899996,117.998514999999,1.49362459999975,9,41,L1_H1_S2,
2,0.715283000005002,117.998514999999,121.999316999994,124.7145428,41,18,,L2_H0_S3
2,1.37188669999887,121.999316999994,125.999183899999,129.370482399994,18,17,L2_H0_S3,L2_H0_S3
2,1.47547240000131,125.999183899999,129.999599299998,133.474418199999,17,35,L2_H0_S3,L3_H1_S3
1,1.40744540000014,129.999599299998,134.000842999994,137.402407299996,35,23,L3_H1_S3,L2_H1_S3
0,NaN,134.000842999994,137.995413500001,1.49672119999741,23,12,L2_H1_S3,L1_H1_S3
1,1.34295549999661,137.995413500001,141.995504599996,145.338233099996,12,19,L1_H1_S3,L2_H1_S1
2,1.19547199999943,141.995504599996,145.999258799995,149.194314599998,19,1,L2_H1_S1,L1_H0_S1
2,0.779504999998608,145.999258799995,149.999786599998,152.778352399997,1,27,L1_H0_S1,L3_H0_S2
2,0.971407899996848,149.999786599998,154.001056000001,156.970110899994,27,29,L3_H0_S2,L3_H0_S3
0,NaN,154.001056000001,157.998357999997,1.49357109999983,29,42,L3_H0_S3,
1,0.458985400000529,157.998357999997,161.999340099996,164.4582132,42,7,,L1_H1_S1
2,0.995576599998458,161.999340099996,165.999271100001,168.994350499997,7,4,L1_H1_S1,L1_H0_S2
2,1.08338229999936,165.999271100001,169.999922199997,173.082248699997,4,5,L1_H0_S2,L1_H0_S3
1,0.859448600000178,169.999922199997,174.000953800001,176.858218599999,5,20,L1_H0_S3,L2_H1_S1
1,1.09956779999629,174.000953800001,177.999155499994,181.098332999994,20,2,L2_H1_S1,L1_H0_S1
0,NaN,177.999155499994,181.999448899995,1.49274880000303,2,10,L1_H0_S1,L1_H1_S2
0,NaN,181.999448899995,185.995460699996,1.49664949999715,10,16,L1_H1_S2,L2_H0_S2
2,0.991110700000718,185.995460699996,189.995563500001,192.986220999999,16,11,L2_H0_S2,L1_H1_S3
1,0.631060699997761,189.995563500001,193.995674400001,196.626143099995,11,34,L1_H1_S3,L3_H1_S2
1,0.787117400002899,193.995674400001,197.999607499994,200.785958799999,34,9,L3_H1_S2,L1_H1_S2
0,NaN,197.999607499994,201.998400699995,1.49354709999898,9,37,L1_H1_S2,
1,0.819558000002871,201.998400699995,205.999298899995,208.818151799998,37,22,,L2_H1_S2
2,1.27524209999683,205.999298899995,210.0000248,213.274111699997,22,12,L2_H1_S2,L1_H1_S3
2,1.10775049999938,210.0000248,214.0007425,217.106032799995,12,17,L1_H1_S3,L2_H0_S3
1,1.23516470000322,214.0007425,217.9995194,221.234025400001,17,31,L2_H0_S3,L3_H1_S1
0,NaN,217.9995194,221.998297499995,1.49349570000049,31,41,L3_H1_S1,
1,1.25164580000273,221.998297499995,225.999332299994,229.2501271,41,14,,L2_H0_S1
2,1.46727979999559,225.999332299994,230.0001214,233.466057499994,14,1,L2_H0_S1,L1_H0_S1
2,1.33963930000027,230.0001214,234.000963999999,237.337896500001,1,29,L1_H0_S1,L3_H0_S3
0,NaN,234.000963999999,237.995211000001,1.49674849999428,29,4,L3_H0_S3,L1_H0_S2
0,NaN,237.995211000001,241.995545999998,1.49675449999631,4,43,L1_H0_S2,
1,0.923220200005744,241.995545999998,245.995356200001,248.921965000001,43,20,,L2_H1_S1
0,NaN,245.995356200001,249.999663899995,1.49215600000025,20,40,L2_H1_S1,
1,0.667727599997306,249.999663899995,254.000981500001,256.666024799997,40,2,,L1_H0_S1
0,NaN,254.000981500001,257.998511499994,1.49315230000502,2,38,L1_H0_S1,
2,1.28317109999625,257.998511499994,261.999330699997,265.281887699995,38,32,,L3_H1_S1
2,1.36318690000189,261.999330699997,265.9994209,269.361846699998,32,24,L3_H1_S1,L2_H1_S3
2,1.29901799999789,265.9994209,270.0008523,273.297758599998,24,27,L2_H1_S3,L3_H0_S2
0,NaN,270.0008523,274.0011104,1.49335740000242,27,18,L3_H0_S2,L2_H0_S3
1,1.38702259999991,274.0011104,277.999632399995,281.385859800001,18,13,L2_H0_S3,L2_H0_S1
2,0.867050700006075,277.999632399995,281.999685099996,284.865873800001,13,30,L2_H0_S1,L3_H0_S3
1,0.843727400002535,281.999685099996,285.999621099996,288.841804199998,30,25,L3_H0_S3,L3_H0_S1
1,0.806627099998877,285.999621099996,289.995499899997,292.801808999997,25,8,L3_H0_S1,L1_H1_S1
0,NaN,289.995499899997,293.995398899999,1.49661440000637,8,19,L1_H1_S1,L2_H1_S1
0,NaN,293.995398899999,297.999715599995,1.49283110000397,19,23,L2_H1_S1,L2_H1_S3
0,NaN,297.999715599995,301.998946599997,1.49266499999794,23,39,L2_H1_S3,
0,NaN,301.998946599997,305.999898399998,1.49294199999713,39,26,,L3_H0_S1
1,1.13889220000419,305.999898399998,310.0011743,313.137667700001,26,5,L3_H0_S1,L1_H0_S3
2,1.4831736000051,310.0011743,314.001552099995,317.4816364,5,36,L1_H0_S3,L3_H1_S3
0,NaN,314.001552099995,318.000192899999,1.49261909999768,36,6,L3_H1_S3,L1_H0_S3
2,1.45061899999564,318.000192899999,322.000086399996,325.449679699996,6,35,L1_H0_S3,L3_H1_S3
1,0.674937899995712,322.000086399996,326.0001997,328.673726399997,35,7,L3_H1_S3,L1_H1_S1
0,NaN,326.0001997,330.001833399998,1.49261009999464,7,21,L1_H1_S1,L2_H1_S2
0,NaN,330.001833399998,334.001915399997,1.4929295999973,21,28,L2_H1_S2,L3_H0_S2
2,1.35860320000211,334.001915399997,337.995189000001,341.353648299999,28,33,L3_H0_S2,L3_H1_S2
0,NaN,337.995189000001,341.995290599996,1.49669600000198,33,42,L3_H1_S2,
2,0.630087799996545,341.995290599996,345.995688999996,348.625649199996,42,3,,L1_H0_S2
1,0.922442800001591,345.995688999996,350.002278699998,352.921404599998,3,15,L1_H0_S2,L2_H0_S2
