preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
1,0.802875299996231,10.0005148000055,13.9998077000055,16.8049163999967,19,17,L2_H1_S1,L2_H0_S3
2,0.637091700002202,13.9998077000055,18.0054779000056,20.6365965000005,17,9,L2_H0_S3,L1_H1_S2
0,NaN,18.0054779000056,21.9996189000085,1.49775589999626,9,43,L1_H1_S2,
2,1.11337659999845,21.9996189000085,25.9951372000069,29.1080775000009,43,32,,L3_H1_S1
1,1.12973919999786,25.9951372000069,29.9951606999966,33.1244903000043,32,23,L3_H1_S1,L2_H1_S3
2,0.644984500002465,29.9951606999966,33.9994088999956,36.6438267000049,23,27,L2_H1_S3,L3_H0_S2
1,0.613301300007151,33.9994088999956,37.9991946000082,40.6119426000078,27,13,L3_H0_S2,L2_H0_S1
2,0.66927030000079,37.9991946000082,42.0011164000025,44.6679773000069,13,1,L2_H0_S1,L1_H0_S1
0,NaN,42.0011164000025,45.998986999999,1.49371170000813,1,37,L1_H0_S1,
1,0.852897800010396,45.998986999999,49.9993354000035,52.851888300007,37,15,,L2_H0_S2
1,0.892840600005002,49.9993354000035,53.9993874000065,56.8918603000056,15,10,L2_H0_S2,L1_H1_S2
2,0.589276600003359,53.9993874000065,57.9993235000002,60.5878552000067,10,21,L1_H1_S2,L2_H1_S2
2,0.669070300005842,57.9993235000002,62.0014269999956,64.6677991000033,21,5,L2_H1_S2,L1_H0_S3
2,0.605282400007127,62.0014269999956,66.0007409999962,68.6038292000012,5,25,L1_H0_S3,L3_H0_S1
1,0.620852200008812,66.0007409999962,69.9992577999947,72.6197856000072,25,24,L3_H0_S1,L2_H1_S3
0,NaN,69.9992577999947,73.9949596000079,1.49689090000174,24,39,L2_H1_S3,
2,0.632819300008123,73.9949596000079,77.9948831000074,80.6277065000031,39,20,,L2_H1_S1
1,0.672955200003344,77.9948831000074,81.9958315999975,84.6677549000015,20,2,L2_H1_S1,L1_H0_S1
1,0.733066500004497,81.9958315999975,86.0006186999963,88.7316565000074,2,30,L1_H0_S1,L3_H0_S3
2,0.500842700013891,86.0006186999963,89.9993420999963,92.4997278000083,30,31,L3_H0_S3,L3_H1_S1
2,0.804683399997884,89.9993420999963,93.9995013000007,96.8037439000036,31,28,L3_H1_S1,L3_H0_S2
2,0.565045400013332,93.9995013000007,97.9992703000025,100.563691600008,28,26,L3_H0_S2,L3_H0_S1
1,0.61277279999922,97.9992703000025,102.001151799996,104.611552300004,26,34,L3_H0_S1,L3_H1_S2
2,0.332888700009789,102.001151799996,106.0002313,108.331533200006,34,18,L3_H1_S2,L2_H0_S3
0,NaN,106.0002313,109.998197699999,1.49387409999326,18,42,L2_H0_S3,
0,NaN,109.998197699999,113.999181699997,1.49260219999996,42,4,,L1_H0_S2
2,0.724989299997105,113.999181699997,117.999198300007,120.7235392,4,3,L1_H0_S2,L1_H0_S2
2,0.684790399987833,117.999198300007,122.001454099998,124.683493599994,3,7,L1_H0_S2,L1_H1_S1
0,NaN,122.001454099998,125.9950656,1.49693300000217,7,38,L1_H1_S1,
1,0.816952900000615,125.9950656,129.995102200002,132.811527500002,38,12,,L1_H1_S3
2,0.996651099994779,129.995102200002,133.994977800001,136.9954077,12,22,L1_H1_S3,L2_H1_S2
2,1.25241659999301,133.994977800001,137.999341400006,141.251368500001,22,11,L2_H1_S2,L1_H1_S3
1,0.972954899989418,137.999341400006,142.000268300006,144.971488299998,11,14,L1_H1_S3,L2_H0_S1
0,NaN,142.000268300006,145.998243800001,1.49370269999781,14,41,L2_H0_S1,
2,0.508613900005003,145.998243800001,149.999200999999,152.507456100007,41,8,,L1_H1_S1
1,0.604724899996654,149.999200999999,153.999335500004,156.603284700002,8,29,L1_H1_S1,L3_H0_S3
1,0.72432390000904,153.999335500004,157.999400800007,160.723231900003,29,6,L3_H0_S3,L1_H0_S3
1,1.07682879999629,157.999400800007,162.001586099999,165.075394500003,6,36,L1_H0_S3,L3_H1_S3
2,0.59658730000956,162.001586099999,165.999988299998,168.595214400004,36,16,L3_H1_S3,L2_H0_S2
2,0.84444159999839,165.999988299998,169.9992585,172.843316900005,16,33,L2_H0_S2,L3_H1_S2
1,0.712545400005183,169.9992585,173.999324999997,176.707284100004,33,35,L3_H1_S2,L3_H1_S3
0,NaN,173.999324999997,177.995126599999,1.49677379999775,35,40,L3_H1_S3,
2,0.648511399995186,177.995126599999,181.995873199994,184.6432508,40,14,,L2_H0_S1
1,0.852780200002599,181.995873199994,185.9999732,188.851293700005,14,3,L2_H0_S1,L1_H0_S2
2,0.684282999995048,185.9999732,189.998932899995,192.683084999997,3,22,L1_H0_S2,L2_H1_S2
1,0.67646029999014,189.998932899995,193.999354500003,196.675128899995,22,11,L2_H1_S2,L1_H1_S3
1,0.828182400000514,193.999354500003,197.999216800003,200.827118800007,11,4,L1_H1_S3,L1_H0_S2
2,0.684563699993305,197.999216800003,202.000635500008,204.683171299999,4,26,L1_H0_S2,L3_H0_S1
1,0.588509100009105,202.000635500008,206.000408199994,208.587084700004,26,30,L3_H0_S1,L3_H0_S3
0,NaN,206.000408199994,209.998345200001,1.49373849999392,30,42,L3_H0_S3,
0,NaN,209.998345200001,213.999268200001,1.49298779999663,42,18,,L2_H0_S3
0,NaN,213.999268200001,217.9984788,1.49274659999355,18,39,L2_H0_S3,
0,NaN,217.9984788,221.999957599997,1.49297809999553,39,43,,
0,NaN,221.999957599997,225.994879100006,1.49699610000243,43,40,,
1,1.30428080000274,225.994879100006,229.995131400006,233.299032900002,40,35,,L3_H1_S3
1,0.98403700000199,229.995131400006,233.994900799997,236.978989499999,35,24,L3_H1_S3,L2_H1_S3
2,0.611844599989126,233.994900799997,237.999606900004,240.610848099997,24,2,L2_H1_S3,L1_H0_S1
1,0.724264699994819,237.999606900004,242.001898700008,244.722804699995,2,12,L1_H0_S1,L1_H1_S3
1,1.11614930001087,242.001898700008,246.000896900005,249.114988700007,12,36,L1_H1_S3,L3_H1_S3
2,0.61984030000167,246.000896900005,249.999122000008,252.618799400007,36,17,L3_H1_S3,L2_H0_S3
2,0.651822699990589,249.999122000008,254.000432300003,256.650709599999,17,21,L2_H0_S3,L2_H1_S2
