preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
1,0.891986300004646,10.0002170999942,13.9997215999902,16.8930783999967,16,17,L2_H0_S2,L2_H0_S3
2,0.621428500002366,13.9997215999902,18.0026035999908,20.6209126999893,17,4,L2_H0_S3,L1_H0_S2
2,0.657241299995803,18.0026035999908,21.9951266999997,24.652193899994,4,1,L1_H0_S2,L1_H0_S1
1,0.713765799999237,21.9951266999997,25.9952737999993,28.7087232999911,1,3,L1_H0_S1,L1_H0_S2
1,0.737747400009539,25.9952737999993,29.9951928999944,32.7323202999978,3,10,L1_H0_S2,L1_H1_S2
0,NaN,29.9951928999944,33.9987431999907,1.49358270000084,10,39,L1_H1_S2,
2,0.725517899991246,33.9987431999907,38.0006662999949,40.7242335999908,39,32,,L3_H1_S1
1,0.82961269999214,38.0006662999949,41.9992935999908,44.82822879999,32,11,L3_H1_S1,L1_H1_S3
2,0.7735657000012,41.9992935999908,45.9992078999931,48.7722506999999,11,5,L1_H1_S3,L1_H0_S3
2,0.677611599996453,45.9992078999931,49.9992293999967,52.6761295999895,5,25,L1_H0_S3,L3_H0_S1
1,0.901586899999529,49.9992293999967,53.9997818999982,56.9002284999879,25,27,L3_H0_S1,L3_H0_S2
1,0.805450599989854,53.9997818999982,58.0007374999986,60.8040284999879,27,24,L3_H0_S2,L2_H1_S3
2,0.653535799996462,58.0007374999986,61.999060999995,64.6521873999882,24,22,L2_H1_S3,L2_H1_S2
1,0.853547699996852,61.999060999995,65.9990398999944,68.8521579999942,22,20,L2_H1_S2,L2_H1_S1
0,NaN,65.9990398999944,69.9982022999902,1.49377690000983,20,41,L2_H1_S1,
0,NaN,69.9982022999902,73.9956880999962,1.49697419999575,41,43,,
2,1.34519360000559,73.9956880999962,77.9954131999984,81.3399688999925,43,9,,L1_H1_S2
0,NaN,77.9954131999984,81.9951059999876,1.4936655999918,9,37,L1_H1_S2,
2,1.21297430001141,81.9951059999876,85.9990784999973,89.2119082999998,37,21,,L2_H1_S2
1,0.933318299998064,85.9990784999973,89.9991059999884,92.9319270999986,21,14,L2_H1_S2,L2_H0_S1
2,1.48523459999706,89.9991059999884,93.9996193999978,97.4838751999923,14,29,L2_H0_S1,L3_H0_S3
1,1.18136519999825,93.9996193999978,98.0008051999903,101.179862499994,29,12,L3_H0_S3,L1_H1_S3
2,1.3572276999912,98.0008051999903,101.9991993,105.355914399988,12,31,L1_H1_S3,L3_H1_S1
1,0.957025199997588,101.9991993,105.999385599993,108.955902599992,31,35,L3_H1_S1,L3_H1_S3
2,1.04534380001132,105.999385599993,109.999225399995,113.0438077,35,33,L3_H1_S3,L3_H1_S2
1,0.844993499995326,109.999225399995,113.999897599992,116.843775199988,33,6,L3_H1_S2,L1_H0_S3
2,0.637569600003189,113.999897599992,118.000502299998,120.635842699994,6,23,L1_H0_S3,L2_H1_S3
2,0.68913669999165,118.000502299998,121.999230699992,124.683825399989,23,8,L2_H1_S3,L1_H1_S1
1,0.840774199998123,121.999230699992,125.995228899992,128.835700199998,8,7,L1_H1_S1,L1_H1_S1
2,0.705020399997011,125.995228899992,129.995297799993,132.69976209999,7,15,L1_H1_S1,L2_H0_S2
1,0.660979499996756,129.995297799993,133.999815499992,136.659751899992,15,13,L2_H0_S2,L2_H0_S1
1,0.877354500000365,133.999815499992,138.000827999989,140.875667999993,13,34,L2_H0_S1,L3_H1_S2
0,NaN,138.000827999989,141.998349799993,1.49381470000662,34,38,L3_H1_S2,
2,0.692723000000115,141.998349799993,145.999274799993,148.691669799999,38,26,,L3_H0_S1
1,0.253064700009418,145.999274799993,149.999225799998,152.251732999997,26,18,L3_H0_S1,L2_H0_S3
0,NaN,149.999225799998,153.999108199991,1.49276590000954,18,40,L2_H0_S3,
2,0.685158200009027,153.999108199991,158.000666899999,160.6834103,40,19,,L2_H1_S1
2,0.708742300004815,158.000666899999,161.999194699994,164.707596299995,19,28,L2_H1_S1,L3_H0_S2
1,0.812627700011944,161.999194699994,165.999149899988,168.8115922,28,2,L3_H0_S2,L1_H0_S1
1,0.70090729999356,165.999149899988,170.000229400001,172.699546599993,2,36,L1_H0_S1,L3_H1_S3
0,NaN,170.000229400001,173.995023799987,1.49695860000793,36,42,L3_H1_S3,
1,1.06483750000189,173.995023799987,177.995070499994,181.059498799994,42,30,,L3_H0_S3
2,0.592730699994718,177.995070499994,181.995341999995,184.587434699992,30,33,L3_H0_S3,L3_H1_S2
1,1.05261040000187,181.995341999995,185.999312499989,189.05150809999,33,2,L3_H1_S2,L1_H0_S1
2,0.500871099997312,185.999312499989,189.999181499996,192.499432099998,2,31,L1_H0_S1,L3_H1_S1
2,1.42078330001095,189.999181499996,194.000134799993,197.419449499997,31,1,L3_H1_S1,L1_H0_S1
1,0.637150099995779,194.000134799993,198.000779499998,200.635473499991,1,6,L1_H0_S1,L1_H0_S3
