preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
0,NaN,9.99867700002505,13.9998428000254,1.49251149999327,43,8,,L1_H1_S1
1,1.19472749999841,13.9998428000254,18.0000115000003,21.1947855000035,8,12,L1_H1_S1,L1_H1_S3
1,1.04388819998712,18.0000115000003,22.0000436000119,25.0427791000111,12,1,L1_H1_S3,L1_H0_S1
2,1.23568289997638,22.0000436000119,26.001963000017,29.2348148000019,1,34,L1_H0_S1,L3_H1_S2
0,NaN,26.001963000017,29.9950817000063,1.49676300000283,34,37,L3_H1_S2,
1,0.847777299990412,29.9950817000063,33.9953018000233,36.8427738000173,37,13,,L2_H0_S1
2,0.979682000004686,33.9953018000233,37.9953802000091,40.9787530000031,13,3,L2_H0_S1,L1_H0_S2
1,1.13965190001181,37.9953802000091,41.9996960000135,45.1386775000137,3,36,L1_H0_S2,L3_H1_S3
1,0.987596699997084,41.9996960000135,46.0012703000102,48.9868643000082,36,2,L3_H1_S3,L1_H0_S1
2,0.891879700007848,46.0012703000102,49.999655600026,52.8908674000122,2,16,L1_H0_S1,L2_H0_S2
2,1.13114050001604,49.999655600026,53.9996566000045,57.1306702000147,16,35,L2_H0_S2,L3_H1_S3
1,1.03559309997945,53.9996566000045,57.9995380000037,61.0346213000012,35,17,L3_H1_S3,L2_H0_S3
0,NaN,57.9995380000037,61.9984467000177,1.49218319999636,17,40,L2_H0_S3,
2,1.13942809999571,61.9984467000177,66.0014435000194,69.1385777000105,40,18,,L2_H0_S3
1,1.19595079999999,66.0014435000194,69.999263900012,73.1949757000257,18,14,L2_H0_S3,L2_H0_S1
2,1.29850890001399,69.999263900012,73.9994611000002,77.2986665000208,14,10,L2_H0_S1,L1_H1_S2
2,1.11927570000989,73.9994611000002,77.9995407000242,81.1145793000178,10,24,L1_H1_S2,L2_H1_S3
1,1.04740489998949,77.9995407000242,81.9951613000012,85.0425753000018,24,7,L2_H1_S3,L1_H1_S1
0,NaN,81.9951613000012,85.9949053000018,1.49692749997485,7,42,L1_H1_S1,
2,1.14675479999278,85.9949053000018,90.001654200023,93.1465500000049,42,11,,L1_H1_S3
0,NaN,90.001654200023,93.9995570000028,1.49353770000744,11,38,L1_H1_S3,
1,1.01142049999908,93.9995570000028,97.9993262000207,101.010489800014,38,19,,L2_H1_S1
0,NaN,97.9993262000207,101.999764000007,1.4924125999969,19,23,L2_H1_S1,L2_H1_S3
2,1.16337579998071,101.999764000007,106.00145890002,109.1624801,23,25,L2_H1_S3,L3_H0_S1
1,0.955490100022871,106.00145890002,109.999619400012,112.954408400023,25,31,L3_H0_S1,L3_H1_S1
0,NaN,109.999619400012,113.99957840002,1.49246280000079,31,22,L3_H1_S1,L2_H1_S2
2,1.00260099998559,113.99957840002,118.006736600015,121.002696100011,22,33,L2_H1_S2,L3_H1_S2
2,1.09886699999333,118.006736600015,121.99954650001,125.09840670001,33,29,L3_H1_S2,L3_H0_S3
0,NaN,121.99954650001,126.001113100006,1.49243099999148,29,26,L3_H0_S3,L3_H0_S1
2,1.19957190001151,126.001113100006,129.995501700003,133.194367000018,26,6,L3_H0_S1,L1_H0_S3
1,0.839305000001332,129.995501700003,133.995817200019,136.834325600008,6,15,L1_H0_S3,L2_H0_S2
2,0.111348900012672,133.995817200019,137.995412500022,140.106350800022,15,28,L2_H0_S2,L3_H0_S2
1,0.954905999999028,137.995412500022,141.999655700027,144.954391700012,28,5,L3_H0_S2,L1_H0_S3
2,0.659271699987585,141.999655700027,146.000538500026,148.658455800003,5,9,L1_H0_S3,L1_H1_S2
1,1.48315019998699,146.000538500026,150.000126600004,153.482235500007,9,32,L1_H1_S2,L3_H1_S1
2,0.00274930000887252,150.000126600004,153.999697600026,156.002257100015,32,27,L3_H1_S1,L3_H0_S2
1,0.267063100007363,153.999697600026,157.999655000021,160.266254100017,27,4,L3_H0_S2,L1_H0_S2
2,1.01921990001574,157.999655000021,161.999937500019,165.018387400021,4,20,L1_H0_S2,L2_H1_S1
0,NaN,161.999937500019,165.999538300006,1.49346160001005,20,39,L2_H1_S1,
0,NaN,165.999538300006,169.998388200009,1.49304819997633,39,41,,
2,0.858895900018979,169.998388200009,173.999676300009,176.858242700022,41,21,,L2_H1_S2
2,1.10703029998695,173.999676300009,177.999321900017,181.106387600012,21,30,L2_H1_S2,L3_H0_S3
1,1.03097399999388,177.999321900017,181.995842000004,185.026209500007,30,2,L3_H0_S3,L1_H0_S1
2,1.07101479999255,181.995842000004,185.995332300023,189.066266700014,2,23,L1_H0_S1,L2_H1_S3
