preferredStim,timing,timeStamp1,timeStamp2,timeStampJudge,stim1,stim2,cat1,cat2
0,NaN,10.0032743000193,14.0033520999714,1.48841029999312,31,41,L3_H1_S1,
1,0.69934709998779,14.0033520999714,18.0033433000208,20.7026815999998,41,7,,L1_H1_S1
0,NaN,18.0033433000208,22.0034198000212,1.4883528999635,7,37,L1_H1_S1,
2,0.723245100001805,22.0034198000212,26.0034111000132,28.7266345000244,37,28,,L3_H0_S2
1,1.04316379997181,26.0034111000132,30.0034568000119,33.0465972999809,28,35,L3_H0_S2,L3_H1_S3
1,0.611180600011721,30.0034568000119,34.0034481000039,36.6146301000263,35,24,L3_H1_S3,L2_H1_S3
1,0.763192499987781,34.0034481000039,38.0035439999774,40.7666771999793,24,14,L2_H1_S3,L2_H0_S1
2,0.922954900015611,38.0035439999774,42.0035491000162,44.9264763999963,14,16,L2_H0_S1,L2_H0_S2
1,0.826972999959253,42.0035491000162,46.0036190000246,48.8305306999828,16,10,L2_H0_S2,L1_H1_S2
2,0.690990699979011,46.0036190000246,50.0036119000288,52.6945832999772,10,4,L1_H1_S2,L1_H0_S2
0,NaN,50.0036119000288,54.0036897999817,1.48808400001144,4,38,L1_H0_S2,
1,0.762778300035279,54.0036897999817,58.0036814999767,60.7664690000238,38,12,,L1_H1_S3
2,0.658753899973817,58.0036814999767,62.0036938000121,64.6624485999928,12,20,L1_H1_S3,L2_H1_S1
1,0.666746600007173,62.0036938000121,66.0037112000282,68.6704747999902,20,33,L2_H1_S1,L3_H1_S2
0,NaN,66.0037112000282,70.0038335000281,1.48794320004527,33,43,L3_H1_S2,
2,0.81070400000317,70.0038335000281,74.0038225000026,76.8144970000139,43,11,,L1_H1_S3
0,NaN,74.0038225000026,78.0038269999786,1.48790869995719,11,39,L1_H1_S3,
2,0.90651619998971,78.0038269999786,82.0038641000283,84.9103676999803,39,17,,L2_H0_S3
2,0.978534499998204,82.0038641000283,86.003963300027,88.9824158999836,17,25,L2_H0_S3,L3_H0_S1
1,0.714411000022665,86.003963300027,90.0039482999709,92.7184017000254,25,32,L3_H0_S1,L3_H1_S1
2,0.714413900044747,90.0039482999709,94.003981899994,96.718408500019,32,3,L3_H1_S1,L1_H0_S2
2,0.666278499993496,94.003981899994,98.0040409999783,100.670284899999,3,26,L1_H0_S2,L3_H0_S1
1,0.578164000005927,98.0040409999783,102.004050799995,104.582215900009,26,6,L3_H0_S1,L1_H0_S3
2,0.570176599954721,102.004050799995,106.004093899974,108.574254799983,6,18,L1_H0_S3,L2_H0_S3
1,0.666112500010058,106.004093899974,110.004169600026,112.670210900018,18,23,L2_H0_S3,L2_H1_S3
